tab_code,表章項目,cat01_code,2015年基準品目,area_code,地域（2015年基準）,time_code,時間軸（年・月）,unit,value,annotation
1,指数,0056,0056 電気代,47A01,47201 那覇市,2019000101,2019年1月,,111.4,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2018001212,2018年12月,,110.7,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2018001111,2018年11月,,110.3,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2018001010,2018年10月,,109.3,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2018000909,2018年9月,,108,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2018000808,2018年8月,,107,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2018000707,2018年7月,,106.7,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2018000606,2018年6月,,106.7,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2018000505,2018年5月,,106.6,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2018000404,2018年4月,,105.2,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2018000303,2018年3月,,104.4,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2018000202,2018年2月,,103.3,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2018000101,2018年1月,,102.2,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2017001212,2017年12月,,101.4,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2017001111,2017年11月,,101.5,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2017001010,2017年10月,,102.1,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2017000909,2017年9月,,102.5,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2017000808,2017年8月,,102.6,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2017000707,2017年7月,,102.7,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2017000606,2017年6月,,103.1,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2017000505,2017年5月,,102.2,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2017000404,2017年4月,,99.3,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2017000303,2017年3月,,96.9,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2017000202,2017年2月,,95.4,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2017000101,2017年1月,,94.4,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2016001212,2016年12月,,94.3,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2016001111,2016年11月,,94.4,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2016001010,2016年10月,,94.5,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2016000909,2016年9月,,94.3,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2016000808,2016年8月,,93.6,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2016000707,2016年7月,,93.3,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2016000606,2016年6月,,93.8,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2016000505,2016年5月,,95.3,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2016000404,2016年4月,,94.4,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2016000303,2016年3月,,95.3,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2016000202,2016年2月,,95.9,
1,指数,0056,0056 電気代,47A01,47201 那覇市,2016000101,2016年1月,,97.1,
